service_id,date,exception_type
159,20220225,1
160,20220223,1
161,20220225,1
162,20220224,1
163,20220224,1
164,20220812,1
165,20220325,1
166,20220603,1
167,20220715,1
168,20220429,1
169,20220525,1
170,20220701,1
171,20220615,1
172,20220311,1
173,20220408,1
174,20220513,1
175,20220306,1
176,20220227,1
177,20220328,1
178,20220516,1
179,20220420,1
180,20220314,1
181,20220228,1
182,20220502,1
183,20220530,1
184,20220704,1
185,20220801,1
186,20220607,1
187,20220621,1
