agency_id,route_id,route_long_name,route_type,route_url,route_short_name
fahrgemeinschaft,52,"Landshut-West, Landshut nach Oberding, Markt, 85445",1700,https://ride2go.com/?trip=855489,
fahrgemeinschaft,53,"Cham, Marktplatz nach Altötting",1700,https://ride2go.com/?trip=498106,
fahrgemeinschaft,54,"Cham, Marktplatz nach Altötting",1700,https://ride2go.com/?trip=614291,
fahrgemeinschaft,55,"Walddorfhäslach, Walddorfhäslach nach Böblingen",1700,https://ride2go.com/?trip=101106,
fahrgemeinschaft,56,"Albert-Schäffle-Straße, Stuttgart nach Benzstraße, Sindelfingen",1700,https://ride2go.com/?trip=101541,
fahrgemeinschaft,57,"Blumenau, Weingarten nach Lehr Himmelweiler",1700,https://ride2go.com/?trip=385167,
fahrgemeinschaft,58,"Bahnhof, Biberach an der Riß nach Universitätsklinikum Ulm, Ulm",1700,https://ride2go.com/?trip=963176,
fahrgemeinschaft,59,"Wannweil nach Holzelfingen, Lichtenstein",1700,https://ride2go.com/?trip=267311,
fahrgemeinschaft,60,"Holzelfingen, Lichtenstein nach Wannweil",1700,https://ride2go.com/?trip=652251,
fahrgemeinschaft,61,Reutlingen nach Geislingen an der Steige,1700,https://ride2go.com/?trip=101602,
fahrgemeinschaft,62,"Großbettlingen, Vereinbarte Verwaltungsgemeinschaft der Stadt Nürtingen nach Nanz Center Kirchheim, Kirchheim unter Teck",1700,https://ride2go.com/?trip=474467,
fahrgemeinschaft,63,"Lonsee, Gemeindeverwaltungsverband Lonsee-Amstetten nach Dornstadt, VVG der Gemeinde Dornstadt",1700,https://ride2go.com/?trip=654002,
fahrgemeinschaft,64,"Kirchheim unter Teck, Vereinbarte Verwaltungsgemeinschaft der Stadt Kirchheim unter Teck, Deu nach Hochschule Esslingen, Esslingen am Neckar",1700,https://ride2go.com/?trip=156337,
fahrgemeinschaft,65,"Am Schraiberg, Dornstadt nach Nördliche Ringstraße, Göppingen",1700,https://ride2go.com/?trip=222960,
fahrgemeinschaft,66,"Holzelfingen, Lichtenstein nach Wannweil",1700,https://ride2go.com/?trip=967663,
fahrgemeinschaft,67,"Laubach nach Ulm Hauptbahnhof, Ulm",1700,https://ride2go.com/?trip=152101,
fahrgemeinschaft,68,Geislingen an der Steige nach Reutlingen,1700,https://ride2go.com/?trip=101604,
fahrgemeinschaft,69,"Korber Höhe, Waiblingen nach Uhingen, Uhingen",1700,https://ride2go.com/?trip=769067,
fahrgemeinschaft,70,"Salach, Gemeindeverwaltungsverband Eislingen-Ottenbach-Salach nach Daimler AG Firmenangehörigengeschäft Werk Untertürkheim, Stuttgart",1700,https://ride2go.com/?trip=931314,
fahrgemeinschaft,71,Fellbach nach Gerlingen Rathaus,1700,https://ride2go.com/?trip=114460,
fahrgemeinschaft,72,"Oberheinriet, Untergruppenbach nach Siemens, Stuttgart",1700,https://ride2go.com/?trip=456228,
fahrgemeinschaft,73,"Bad Orb Untertor nach Alzenau, Alzenau",1700,https://ride2go.com/?trip=229624,
fahrgemeinschaft,74,Ortenberg nach Büdingen,1700,https://ride2go.com/?trip=101256,
fahrgemeinschaft,75,"Gera nach Niedermittlau, 63594 Hasselroth",1700,https://ride2go.com/?trip=895908,
fahrgemeinschaft,76,Tübingen nach Stuttgart,1700,https://ride2go.com/?trip=835543,
fahrgemeinschaft,77,Tübingen nach Stuttgart,1700,https://ride2go.com/?trip=975568,
fahrgemeinschaft,78,Tübingen nach Stuttgart,1700,https://ride2go.com/?trip=378324,
fahrgemeinschaft,79,Gerlingen nach Fellbach,1700,https://ride2go.com/?trip=848714,
fahrgemeinschaft,80,"Siemens, Stuttgart nach Untergruppenbach, Verwaltungsverband Schozach-Bottwartal",1700,https://ride2go.com/?trip=355661,
fahrgemeinschaft,81,P+R-Parkplatz nach Heilbronn,1700,https://ride2go.com/?trip=580462,
fahrgemeinschaft,82,"Pragstraße, Stuttgart nach Schmidbergstraße, Heilbronn",1700,https://ride2go.com/?trip=435335,
fahrgemeinschaft,83,"Schmidbergstraße, Heilbronn nach Pragstraße, Stuttgart",1700,https://ride2go.com/?trip=798865,
fahrgemeinschaft,84,"Bretzfeld nach Wolpertshausen, Verwaltungsverband Ilshofen-Vellberg",1700,https://ride2go.com/?trip=889134,
fahrgemeinschaft,85,"Korb nach Audi AG, Werk Neckarsulm, Neckarsulm",1700,https://ride2go.com/?trip=461394,
fahrgemeinschaft,86,"Audi AG, Werk Neckarsulm, Neckarsulm nach Korb Seeplatz",1700,https://ride2go.com/?trip=918241,
fahrgemeinschaft,87,"Uhingen, Uhingen nach Korber Höhe, Waiblingen",1700,https://ride2go.com/?trip=905674,
fahrgemeinschaft,88,"Niedermittlau, 63594 Hasselroth nach Gera",1700,https://ride2go.com/?trip=186866,
fahrgemeinschaft,89,Höchberg nach Lohr am Main,1700,https://ride2go.com/?trip=106970,
fahrgemeinschaft,90,Lohr am Main nach Höchberg,1700,https://ride2go.com/?trip=606834,
fahrgemeinschaft,91,Lohr am Main nach Höchberg,1700,https://ride2go.com/?trip=989233,
fahrgemeinschaft,92,Schwarzenberg/Erzgebirge nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=342473,
fahrgemeinschaft,93,"Röthlein nach Zellerau, Würzburg",1700,https://ride2go.com/?trip=429714,
fahrgemeinschaft,94,Steinbach am Wald nach Frankfurt am Main,1700,https://ride2go.com/?trip=101179,
fahrgemeinschaft,95,"Würzburg Hauptbahnhof, Würzburg nach Bad Brückenau",1700,https://ride2go.com/?trip=745397,
fahrgemeinschaft,96,"Plärrergelände P+R, Augsburg nach Zusmarshausen",1700,https://ride2go.com/?trip=222266,
fahrgemeinschaft,97,"Plärrergelände P+R, Augsburg nach Zusmarshausen",1700,https://ride2go.com/?trip=540668,
fahrgemeinschaft,98,Augsburg nach Langenau,1700,https://ride2go.com/?trip=656929,
fahrgemeinschaft,99,"Niederstotzingen, GVV Sontheim-Niederstotzingen nach Schömberg, GVV Oberes Schlichemtal",1700,https://ride2go.com/?trip=769234,
fahrgemeinschaft,100,"Gemarkung Schömberg, Schömberg nach , Niederstotzingen",1700,https://ride2go.com/?trip=809030,
fahrgemeinschaft,101,Hurlach nach Donauwörth,1700,https://ride2go.com/?trip=656279,
fahrgemeinschaft,102,"Park+Ride-Platz Hammerschmiede, Augsburg nach Monheim, Monheim",1700,https://ride2go.com/?trip=769077,
fahrgemeinschaft,103,"Prinz-Eugen-Straße, Tapfheim nach Schützenring, Donauwörth",1700,https://ride2go.com/?trip=322595,
fahrgemeinschaft,104,"Ungererstraße, München nach Oberahrain, Essenbach",1700,https://ride2go.com/?trip=656521,
fahrgemeinschaft,105,"Ramersdorf, München nach Hauptwache Wehrtechnische Dienststelle für Luftfahrzeuge und Luftfahrtgerät der Bundeswehr (WTD 61), null",1700,https://ride2go.com/?trip=101125,
fahrgemeinschaft,106,"IN, Audi-Tor 10 nach Ludwigsmoos",1700,https://ride2go.com/?trip=171833,
fahrgemeinschaft,107,"Train, Siegenburg (VGem) nach ESV Stadion, Ingolstadt",1700,https://ride2go.com/?trip=922095,
fahrgemeinschaft,108,"Train, Siegenburg (VGem) nach ESV Stadion, Ingolstadt",1700,https://ride2go.com/?trip=372422,
fahrgemeinschaft,109,"Hofkirchen, Laberweinting nach Innovationspark Wackersdorf, Wackersdorf",1700,https://ride2go.com/?trip=554618,
fahrgemeinschaft,110,Landau an der Isar nach Arnstorf,1700,https://ride2go.com/?trip=861247,
fahrgemeinschaft,111,Arnstorf nach Landau an der Isar,1700,https://ride2go.com/?trip=195944,
fahrgemeinschaft,112,"Altötting nach Cham, Marktplatz",1700,https://ride2go.com/?trip=927452,
fahrgemeinschaft,113,Regen nach Passau,1700,https://ride2go.com/?trip=725391,
fahrgemeinschaft,114,86650 Wemding nach 86609 Donauwörth,1700,https://ride2go.com/?trip=100950,
fahrgemeinschaft,115,"Bahnhof Straubing, Straubing nach Landau an der Isar",1700,https://ride2go.com/?trip=342109,
fahrgemeinschaft,116,Regensburg nach P+R-Parkplatz,1700,https://ride2go.com/?trip=101655,
fahrgemeinschaft,117,"Sillenbuch, Stuttgart nach Bamberg",1700,https://ride2go.com/?trip=537123,
fahrgemeinschaft,118,82166 Gräfelfing nach P+R-Parkplatz,1700,https://ride2go.com/?trip=903247,
fahrgemeinschaft,119,", München nach , Ingolstadt",1700,https://ride2go.com/?trip=778545,
fahrgemeinschaft,120,", München nach , Ingolstadt",1700,https://ride2go.com/?trip=276308,
fahrgemeinschaft,121,"Münchner Freiheit, 80802 München nach 38106 Braunschweig",1700,https://ride2go.com/?trip=146435,
fahrgemeinschaft,122,"Giesing, München nach Ingolstadt",1700,https://ride2go.com/?trip=831375,
fahrgemeinschaft,123,Rosenheim nach Jena,1700,https://ride2go.com/?trip=335380,
fahrgemeinschaft,124,"Ludwigsmoos nach IN, Audi-Tor 10",1700,https://ride2go.com/?trip=250804,
fahrgemeinschaft,125,Lichtenau nach Nürnberg,1700,https://ride2go.com/?trip=681303,
fahrgemeinschaft,126,"Neumarkt in der Oberpfalz nach Nürnberg Hauptbahnhof, Nürnberg",1700,https://ride2go.com/?trip=100130,
fahrgemeinschaft,127,Ingolstadt nach Großräschen,1700,https://ride2go.com/?trip=101039,
fahrgemeinschaft,128,"Eichstätt nach IN, Ingolstadt Village",1700,https://ride2go.com/?trip=366365,
fahrgemeinschaft,129,"Heinrichsheim, Neuburg an der Donau nach Umbertshausener Weg, Neustadt an der Donau",1700,https://ride2go.com/?trip=825156,
fahrgemeinschaft,130,Castra Regina Center nach Amberg Rathaus,1700,https://ride2go.com/?trip=260852,
fahrgemeinschaft,131,"Altstadt, Landshut nach Technische Hochschule Deggendorf, Deggendorf",1700,https://ride2go.com/?trip=565549,
fahrgemeinschaft,132,Landau an der Isar nach Straubing,1700,https://ride2go.com/?trip=201675,
fahrgemeinschaft,133,"Mallersdorf-Pfaffenberg nach Innovationspark Wackersdorf, Wackersdorf",1700,https://ride2go.com/?trip=481244,
fahrgemeinschaft,134,Bad Kötzting nach Zandt,1700,https://ride2go.com/?trip=274299,
fahrgemeinschaft,135,"McDonald's, Regensburg nach Klinikum Weiden, Weiden in der Oberpfalz",1700,https://ride2go.com/?trip=868049,
fahrgemeinschaft,136,Ansbach nach Waldsassen,1700,https://ride2go.com/?trip=101529,
fahrgemeinschaft,137,"Pentling nach Klinikum Weiden, Weiden in der Oberpfalz",1700,https://ride2go.com/?trip=505866,
fahrgemeinschaft,138,Passau nach Regen,1700,https://ride2go.com/?trip=722619,
fahrgemeinschaft,139,", Geestland nach Roding",1700,https://ride2go.com/?trip=346887,
fahrgemeinschaft,140,"Salzstraße, Fürth nach Altershausen",1700,https://ride2go.com/?trip=100160,
fahrgemeinschaft,141,"Nürnberg-Gleißhammer nach Kollegienhaus, Erlangen",1700,https://ride2go.com/?trip=558082,
fahrgemeinschaft,142,", Amberg nach Regensburg Hauptbahnhof, Regensburg",1700,https://ride2go.com/?trip=286392,
fahrgemeinschaft,143,Betzenstein nach Nürnberg Ost,1700,https://ride2go.com/?trip=100949,
fahrgemeinschaft,144,"Zellerau, Würzburg nach Röthlein",1700,https://ride2go.com/?trip=244140,
fahrgemeinschaft,145,Dettelbach nach Kitzingen,1700,https://ride2go.com/?trip=100352,
fahrgemeinschaft,146,Nordheim a.Main nach Hausen bei Würzburg,1700,https://ride2go.com/?trip=100252,
fahrgemeinschaft,147,Bad Neustadt an der Saale nach Bad Kissingen,1700,https://ride2go.com/?trip=847336,
fahrgemeinschaft,148,"Sportplatzstraße, Grettstadt nach Gochsheim",1700,https://ride2go.com/?trip=481452,
fahrgemeinschaft,149,Adelsdorf nach Forchheim,1700,https://ride2go.com/?trip=393267,
fahrgemeinschaft,150,P+R-Parkplatz nach Ebersdorf bei Coburg,1700,https://ride2go.com/?trip=492608,
fahrgemeinschaft,151,Ebersdorf bei Coburg nach P+R-Parkplatz,1700,https://ride2go.com/?trip=322810,
fahrgemeinschaft,152,"Bad Staffelstein Auwaldstraße nach Mittelberg, Rödental",1700,https://ride2go.com/?trip=805683,
fahrgemeinschaft,153,Forchheim nach Adelsdorf,1700,https://ride2go.com/?trip=187332,
fahrgemeinschaft,154,"Mittelberg, Rödental nach Bad Staffelstein Auwaldstraße",1700,https://ride2go.com/?trip=300881,
fahrgemeinschaft,155,"Klinikum Weiden, Weiden in der Oberpfalz nach McDonald's, Regensburg",1700,https://ride2go.com/?trip=664947,
fahrgemeinschaft,156,Weiden nach Bayreuth,1700,https://ride2go.com/?trip=979792,
fahrgemeinschaft,157,Hof nach Bayreuth,1700,https://ride2go.com/?trip=861815,
fahrgemeinschaft,158,"Großenhain nach Pfreimd, Vohenstrauß",1700,https://ride2go.com/?trip=460696,
fahrgemeinschaft,159,Neu-Ulm nach Ravensburg,1700,https://ride2go.com/?trip=101696,
fahrgemeinschaft,160,"König-Heinrich-Straße 1, 97082 Würzburg nach Parkstraße 13, 79822 Titisee-Neustadt",1700,https://ride2go.com/?trip=896450,
fahrgemeinschaft,161,"Eisenach, Markt / Georgenkirche nach Lauingen (Donau)",1700,https://ride2go.com/?trip=101029,
fahrgemeinschaft,162,"Waldshut-Tiengen nach München Hbf, München",1700,https://ride2go.com/?trip=101630,
fahrgemeinschaft,163,Rosenheim nach Wiesbaden,1700,https://ride2go.com/?trip=101697,
fahrgemeinschaft,164,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=320736,
fahrgemeinschaft,165,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=686442,
fahrgemeinschaft,166,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=429949,
fahrgemeinschaft,167,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=336610,
fahrgemeinschaft,168,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=681494,
fahrgemeinschaft,169,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=665418,
fahrgemeinschaft,170,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=338932,
fahrgemeinschaft,171,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=429710,
fahrgemeinschaft,172,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=703660,
fahrgemeinschaft,173,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=686240,
fahrgemeinschaft,174,Neckarsulm nach Dresden,1700,https://ride2go.com/?trip=673312,
fahrgemeinschaft,175,"Parkplatz Parkstraße (P3) nach Würzburg Hbf, Würzburg",1700,https://ride2go.com/?trip=621120,
fahrgemeinschaft,176,Lauingen (Donau) nach Eisenach,1700,https://ride2go.com/?trip=101034,
fahrgemeinschaft,177,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=503179,
fahrgemeinschaft,178,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=687840,
fahrgemeinschaft,179,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=554620,
fahrgemeinschaft,180,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=451282,
fahrgemeinschaft,181,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=357119,
fahrgemeinschaft,182,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=647570,
fahrgemeinschaft,183,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=710628,
fahrgemeinschaft,184,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=776510,
fahrgemeinschaft,185,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=966502,
fahrgemeinschaft,186,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=731238,
fahrgemeinschaft,187,Dresden nach Neckarsulm Marktplatz,1700,https://ride2go.com/?trip=737404,
